corporate_identification_number,company_name,registered_state,date,rank
U80903BR2020PTC045208,SHREYASSHAURYA EDUCATION PRIVATE LIMITED,Bihar,2020-01-28,4
U80904BR2020PTC045189,FUTUREADVANTAGE EDUCATION PRIVATELIMITED,Bihar,2020-01-28,4
U85110BR2020PTC045201,SUNUP PHARMA PRIVATE LIMITED,Bihar,2020-01-28,4
U36100BR2020OPC045192,BHASKARJYOTI STEEL FURNITURE (OPC)PRIVATE LIMITED,Bihar,2020-01-28,4
U15549BR2020PTC045207,KOSHI FEEDS & NUTRIENTS PRIVATE LIMITED,Bihar,2020-01-28,4
U19116BR2020PTC045200,DIYARAZONE LEATHER PRIVATE LIMITED,Bihar,2020-01-28,4
U45400BR2020PTC045188,GREEN RUDRA INFRA PRIVATE LIMITED,Bihar,2020-01-28,4
U72900BR2020OPC045191,ANDSPACE TECHNOLOGY (OPC) PRIVATELIMITED,Bihar,2020-01-28,4
U72900BR2020OPC045194,SACT TECHNOLOGY (OPC) PRIVATE LIMITED,Bihar,2020-01-28,4
U45500BR2020OPC045202,SHIDDHARTH CENTERING & CONSTRUCTION(OPC) PRIVATE LIMITED,Bihar,2020-01-28,4
U45500BR2020PTC045197,MODERNGREEN CONSTRUCTIONS PRIVATELIMITED,Bihar,2020-01-28,4
U45500BR2020PTC045198,REALPLEX ENGICON PRIVATE LIMITED,Bihar,2020-01-28,4
U45500BR2020PTC045211,MALTI RAJESHWAR INFRASTRUCTURE ANDSERVICES PRIVATE LIMITED,Bihar,2020-01-28,4
U74999BR2020PTC045195,URBANCLIK INDIA PRIVATE LIMITED,Bihar,2020-01-28,4
U74999BR2020PTC045205,MEPA SOLUTIONS PRIVATE LIMITED,Bihar,2020-01-28,4
U01100BR2020PTC045173,SAHYOG AMNI AGRO PRODUCER COMPANYLIMITED,Bihar,2020-01-27,5
U51909BR2020OPC045174,SPEXIDE (OPC) PRIVATE LIMITED,Bihar,2020-01-27,5
U51909BR2020PTC045167,AMRIT EYEWEAR PRIVATE LIMITED,Bihar,2020-01-27,5
U51909BR2020PTC045169,PHARMISTA HEALTHCARE PRIVATE LIMITED,Bihar,2020-01-27,5
U15134BR2020PLC045165,DIVYAKANTI INDUSTRIES LIMITED,Bihar,2020-01-27,5
U15400BR2020OPC045180,SUWANA POULTRY FARMS INDIA (OPC) PRIVATELIMITED,Bihar,2020-01-27,5
U85320BR2020NPL045184,DIWYA VATSALYA FOUNDATION,Bihar,2020-01-27,5
U92412BR2020OPC045182,SKBD EVENT&MANAGEMENT (OPC) PRIVATELIMITED,Bihar,2020-01-27,5
U52603BR2020PTC045175,FIRECLUSE PRIVATE LIMITED,Bihar,2020-01-27,5
U52609BR2020OPC045162,JAY BHIM ELECTRICALS (OPC) PRIVATELIMITED,Bihar,2020-01-27,5
